record_id,source_id,doi,title,year,journal,chunk_id,page,section,parent_name,product_name,setting_type,environment_matrix,review_status,evidence_tier,requires_manual_confirmation,main_database_use,evidence_quote
stage2rec_7d7fb5c7bedffc2b,stage2_b7aa88c721a46f27,10.1021/acs.estlett.8b00148,Biotransformation of AFFF Component 6:2 Fluorotelomer Thioether Amido Sulfonate Generates 6:2 Fluorotelomer Thioether Carboxylate under Sulfate-Reducing Conditions,2018,Environmental Science & Technology Letters,stage2chunk_51fe433c893c3e24,,html_text,6:2 fluorotelomer thioether amido sulfonate,6:2 fluorotelomer thioether propionate,soil_microcosm_from_field_sample,pristine or AFFF-impacted solids used as microbial inocula,validated_high_confidence,confirmed_product,False,core_evidence,"These analyses demonstrated that 6:2 FtTAoS was transformed primarily to a stable polyfluoroalkyl compound, 6:2 fluorotelomer thioether propionate (6:2 FtTP)."
stage2rec_65ca643b423218e4,stage2_b7aa88c721a46f27,10.1021/acs.estlett.8b00148,Biotransformation of AFFF Component 6:2 Fluorotelomer Thioether Amido Sulfonate Generates 6:2 Fluorotelomer Thioether Carboxylate under Sulfate-Reducing Conditions,2018,Environmental Science & Technology Letters,stage2chunk_03e15b585d33db44,,html_text,6:2 fluorotelomer thioether amido sulfonate,6:2 fluorotelomer thioether propanoyl alaninate,soil_microcosm_from_field_sample,pristine or AFFF-impacted solids used as microbial inocula,validated_medium_confidence,tentative_product,True,tentative_evidence,Suspect screening suggested that the ion at m / z 522 was 6:2 fluorotelomer thioether propanoyl alaninate (6:2 FtTPlA).
stage2rec_e5f2e66e769a6dd8,stage2_b7aa88c721a46f27,10.1021/acs.estlett.8b00148,Biotransformation of AFFF Component 6:2 Fluorotelomer Thioether Amido Sulfonate Generates 6:2 Fluorotelomer Thioether Carboxylate under Sulfate-Reducing Conditions,2018,Environmental Science & Technology Letters,stage2chunk_03e15b585d33db44,,html_text,6:2 fluorotelomer thioether amido sulfonate,6:2 fluorotelomer thioether propanoyl oxy propanoate,soil_microcosm_from_field_sample,pristine or AFFF-impacted solids used as microbial inocula,validated_medium_confidence,tentative_product,True,tentative_evidence,"The nontargeted analysis implied that the ions at m / z 523 and 593 were fluorotelomer thioether propanoyl oxy propanoate (6:2 FtTPoP) and 6:2 fluorotelomer thioether propanoylalanylalaninate (6:2 FtTPlAA), respectively."
stage2rec_e45ce47c9ef313ab,stage2_b7aa88c721a46f27,10.1021/acs.estlett.8b00148,Biotransformation of AFFF Component 6:2 Fluorotelomer Thioether Amido Sulfonate Generates 6:2 Fluorotelomer Thioether Carboxylate under Sulfate-Reducing Conditions,2018,Environmental Science & Technology Letters,stage2chunk_f1465a98c26fa66f,,html_text,6:2 fluorotelomer thioether amido sulfonate,6:2 fluorotelomer thioether propanoylalanylalaninate,soil_microcosm_from_field_sample,pristine or AFFF-impacted solids used as microbial inocula,validated_medium_confidence,tentative_product,True,tentative_evidence,"Although an increase in the level of 6:2 FtTPlAA ( m / z 593) at the end of the incubation was observed in both sets of live microcosms, increases of m / z 522 and 523 were detected only in pristine and contaminated microcosms, respectively."
